roll_number,member_full,first_name,last_name,party,state,lis_member_id,vote_cast
3,Cardin (D-MD),Ben,Cardin,D,MD,S308,Not Voting
3,Carper (D-DE),Thomas,Carper,D,DE,S277,Yea
3,Casey (D-PA),Bob,Casey,D,PA,S309,Yea
3,Cassidy (R-LA),Bill,Cassidy,R,LA,S373,Yea
3,Collins (R-ME),Susan,Collins,R,ME,S252,Yea
3,Coons (D-DE),Christopher,Coons,D,DE,S337,Yea
3,Cornyn (R-TX),John,Cornyn,R,TX,S287,Yea
3,Cortez Masto (D-NV),Catherine,Cortez Masto,D,NV,S385,Yea
3,Cotton (R-AR),Tom,Cotton,R,AR,S374,Yea
3,Cramer (R-ND),Kevin,Cramer,R,ND,S398,Yea
3,Crapo (R-ID),Mike,Crapo,R,ID,S266,Yea
3,Cruz (R-TX),Ted,Cruz,R,TX,S355,Yea
3,Daines (R-MT),Steve,Daines,R,MT,S375,Yea
3,Duckworth (D-IL),Tammy,Duckworth,D,IL,S386,Yea
3,Durbin (D-IL),Richard,Durbin,D,IL,S253,Yea
3,Ernst (R-IA),Joni,Ernst,R,IA,S376,Yea
3,Feinstein (D-CA),Dianne,Feinstein,D,CA,S221,Yea
3,Fetterman (D-PA),John,Fetterman,D,PA,S418,Yea
3,Fischer (R-NE),Deb,Fischer,R,NE,S357,Yea
3,Gillibrand (D-NY),Kirsten,Gillibrand,D,NY,S331,Yea
3,Graham (R-SC),Lindsey,Graham,R,SC,S293,Yea
3,Grassley (R-IA),Chuck,Grassley,R,IA,S153,Yea
3,Hagerty (R-TN),Bill,Hagerty,R,TN,S407,Yea
3,Hassan (D-NH),Maggie,Hassan,D,NH,S388,Yea
3,Hawley (R-MO),Josh,Hawley,R,MO,S399,Nay
3,Heinrich (D-NM),Martin,Heinrich,D,NM,S359,Yea
3,Hickenlooper (D-CO),John,Hickenlooper,D,CO,S408,Yea
3,Hirono (D-HI),Mazie,Hirono,D,HI,S361,Yea
3,Hoeven (R-ND),John,Hoeven,R,ND,S344,Yea
3,Hyde-Smith (R-MS),Cindy,Hyde-Smith,R,MS,S395,Yea
3,Johnson (R-WI),Ron,Johnson,R,WI,S345,Yea
3,Kaine (D-VA),Timothy,Kaine,D,VA,S362,Yea
3,Kelly (D-AZ),Mark,Kelly,D,AZ,S406,Yea
3,Kennedy (R-LA),John,Kennedy,R,LA,S389,Yea
3,King (I-ME),Angus,King,I,ME,S363,Yea
3,Klobuchar (D-MN),Amy,Klobuchar,D,MN,S311,Yea
3,Lankford (R-OK),James,Lankford,R,OK,S378,Yea
3,Lee (R-UT),Mike,Lee,R,UT,S346,Nay
3,Lujan (D-NM),Ben,Lujan,D,NM,S409,Yea
3,Lummis (R-WY),Cynthia,Lummis,R,WY,S410,Not Voting
3,Manchin (D-WV),Joseph,Manchin,D,WV,S338,Yea
3,Markey (D-MA),Edward,Markey,D,MA,S369,Not Voting
3,Marshall (R-KS),Roger,Marshall,R,KS,S411,Yea
3,McConnell (R-KY),Mitch,McConnell,R,KY,S174,Yea
3,Menendez (D-NJ),Robert,Menendez,D,NJ,S306,Not Voting
3,Merkley (D-OR),Jeff,Merkley,D,OR,S322,Nay
3,Moran (R-KS),Jerry,Moran,R,KS,S347,Yea
3,Mullin (R-OK),Markwayne,Mullin,R,OK,S419,Yea
3,Murkowski (R-AK),Lisa,Murkowski,R,AK,S288,Yea
3,Murphy (D-CT),Christopher,Murphy,D,CT,S364,Yea
3,Murray (D-WA),Patty,Murray,D,WA,S229,Yea
3,Ossoff (D-GA),Jon,Ossoff,D,GA,S414,Yea
3,Padilla (D-CA),Alex,Padilla,D,CA,S413,Yea
3,Paul (R-KY),Rand,Paul,R,KY,S348,Nay
3,Peters (D-MI),Gary,Peters,D,MI,S380,Yea
3,Reed (D-RI),John,Reed,D,RI,S259,Yea
3,Ricketts (R-NE),Pete,Ricketts,R,NE,S423,Yea
3,Risch (R-ID),James,Risch,R,ID,S323,Yea
3,Romney (R-UT),Mitt,Romney,R,UT,S401,Yea
3,Rosen (D-NV),Jacklyn,Rosen,D,NV,S402,Yea
3,Rounds (R-SD),Mike,Rounds,R,SD,S381,Yea
3,Rubio (R-FL),Marco,Rubio,R,FL,S350,Yea
3,Sanders (I-VT),Bernard,Sanders,I,VT,S313,Nay
3,Schatz (D-HI),Brian,Schatz,D,HI,S353,Yea
3,Schmitt (R-MO),Eric,Schmitt,R,MO,S420,Nay
3,Schumer (D-NY),Charles,Schumer,D,NY,S270,Yea
3,Scott (R-FL),Rick,Scott,R,FL,S404,Nay
3,Scott (R-SC),Tim,Scott,R,SC,S365,Nay
3,Shaheen (D-NH),Jeanne,Shaheen,D,NH,S324,Yea
3,Sinema (I-AZ),Kyrsten,Sinema,I,AZ,S403,Yea
3,Smith (D-MN),Tina,Smith,D,MN,S394,Yea
3,Stabenow (D-MI),Debbie,Stabenow,D,MI,S284,Yea
3,Sullivan (R-AK),Dan,Sullivan,R,AK,S383,Yea
3,Tester (D-MT),Jon,Tester,D,MT,S314,Yea
3,Thune (R-SD),John,Thune,R,SD,S303,Yea
3,Tillis (R-NC),Thomas,Tillis,R,NC,S384,Yea
3,Tuberville (R-AL),Tommy,Tuberville,R,AL,S412,Yea
3,Van Hollen (D-MD),Chris,Van Hollen,D,MD,S390,Yea
3,Vance (R-OH),J.,Vance,R,OH,S421,Nay
3,Warner (D-VA),Mark,Warner,D,VA,S327,Yea
3,Warnock (D-GA),Raphael,Warnock,D,GA,S415,Yea
3,Warren (D-MA),Elizabeth,Warren,D,MA,S366,Yea
