Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount
Child,GIBIX,Guggenheim Total Return Bond Fund- Institutional,Purchase,10/06/2023,"$1,001 - $15,000"
Child,RAIIX,Rainier International Discovery Series - Class I,Purchase,10/06/2023,"$1,001 - $15,000"
Child,JENIX,Jensen Quality Growth Fund Cl I,Purchase,11/08/2023,"$1,001 - $15,000"
Child,VWUAX,Vanguard  U.S. Growth Fund Admiral Shares,Purchase,11/08/2023,"$1,001 - $15,000"
Child,IXUS,Total Intl Stock Ishares Core MSCI ETF,Purchase,11/09/2023,"$1,001 - $15,000"
Child,DGRO,iShares Core Dividend Growth ETF,Purchase,11/09/2023,"$1,001 - $15,000"
Child,HIGFX,American High-Income Trust - Class F-3,Purchase,12/05/2023,"$1,001 - $15,000"
Child,PLSRX,Pacific Funds Strategic Income - Class I,Purchase,12/05/2023,"$1,001 - $15,000"
Child,TSCSX,Thrivent Small Cap Stock Fund Class S,Purchase,12/05/2023,"$1,001 - $15,000"
Child,IYMIX,Delaware Ivy Mid Cap Growth Fund Class I,Purchase,12/07/2023,"$1,001 - $15,000"
Child,DGRO,iShares Core Dividend Growth ETF,Purchase,12/08/2023,"$1,001 - $15,000"
Child,PSTCX,Virtus Newfleet Multi-Sector Short Term Bond Fun,Sale (Partial),07/12/2023,"$1,001 - $15,000"
Child,RGERX,Columbia Select Global Equity Fund Class I2,Purchase,07/12/2023,"$1,001 - $15,000"
Child,TSCSX,Thrivent Small Cap Stock Fund Class S,Purchase,07/12/2023,"$1,001 - $15,000"
Child,VWUAX,Vanguard  U.S. Growth Fund Admiral Shares,Purchase,07/12/2023,"$15,001 - $50,000"
Child,IYMIX,Delaware Ivy Mid Cap Growth Fund Class I,Purchase,08/11/2023,"$1,001 - $15,000"
Child,GSDUX,Goldman Sachs Short Duration Tax Free Fund Insti,Purchase,08/11/2023,"$1,001 - $15,000"
Child,GQGIX,Gqg Partners Emerging Markets Equity Fund Instit,Purchase,08/11/2023,"$1,001 - $15,000"
Child,VGISX,Virtus Duff & Phelps Global Real Estate Securiti,Purchase,08/11/2023,"$1,001 - $15,000"
Child,PSTCX,Virtus Newfleet Multi-Sector Short Term Bond Fun,Sale (Partial),08/11/2023,"$1,001 - $15,000"
Child,PLSRX,Pacific Funds Strategic Income - Class I,Purchase,09/11/2023,"$1,001 - $15,000"
Child,RAIIX,Rainier International Discovery Series - Class I,Purchase,09/11/2023,"$1,001 - $15,000"
Child,TFEBX,The Tax-Exempt Bond Fund of America - Class F-3,Purchase,09/11/2023,"$15,001 - $50,000"
Child,PSTCX,Virtus Newfleet Multi-Sector Short Term Bond Fun,Sale (Full),09/11/2023,"$15,001 - $50,000"
Child,IXUS,iShares Core MSCI Total International Stock ETF,Purchase,09/12/2023,"$1,001 - $15,000"
Child,JENIX,Jensen Quality Growth Fund Cl I,Purchase,10/11/2023,"$15,001 - $50,000"
Child,LAHYX,Lord Abbett Investment Trust High Yield Fund Cla,Purchase,10/11/2023,"$1,001 - $15,000"
Child,MAWIX,Blackrock Strategic Global Bond Fund Inc. - Ins,Purchase,11/13/2023,"$1,001 - $15,000"
Child,IYMIX,Delaware Ivy Mid Cap Growth Fund Class I,Purchase,11/13/2023,"$1,001 - $15,000"
Child,RAIIX,Rainier International Discovery Series - Class I,Purchase,11/13/2023,"$1,001 - $15,000"
Child,IXUS,Total Intl Stock Ishares Core MSCI ETF,Purchase,11/14/2023,"$1,001 - $15,000"
